
"Number of searchable structures per year."
"Note: searchable structures vary over time as some become obsolete and are removed from the database."
"Year","Yearly","Total"
"2017","8440.0","124909.0"
"2016","10046.0","116469.0"
"2015","8595.0","106423.0"
"2014","8756.0","97828.0"
"2013","8789.0","89072.0"
"2012","8174.0","80283.0"
"2011","7457.0","72109.0"
"2010","7280.0","64652.0"
"2009","6906.0","57372.0"
"2008","6524.0","50466.0"
"2007","6777.0","43942.0"
"2006","6019.0","37165.0"
"2005","5008.0","31146.0"
"2004","4809.0","26138.0"
"2003","3829.0","21329.0"
"2002","2765.0","17500.0"
"2001","2593.0","14735.0"
"2000","2391.0","12142.0"
"1999","2117.0","9751.0"
"1998","1842.0","7634.0"
"1997","1374.0","5792.0"
"1996","965.0","4418.0"
"1995","845.0","3453.0"
"1994","1202.0","2608.0"
"1993","629.0","1406.0"
"1992","156.0","777.0"
"1991","167.0","621.0"
"1990","132.0","454.0"
"1989","62.0","322.0"
"1988","50.0","260.0"
"1987","18.0","210.0"
"1986","17.0","192.0"
"1985","19.0","175.0"
"1984","22.0","156.0"
"1983","35.0","134.0"
"1982","28.0","99.0"
"1981","14.0","71.0"
"1980","7.0","57.0"
"1979","10.0","50.0"
"1978","4.0","40.0"
"1977","23.0","36.0"
"1976","13.0","13.0"
"1975","0.0","0.0"
"1974","0.0","0.0"
"1973","0.0","0.0"
"1972","0.0","0.0"
